cross_over_date_strong,Name,mov2,mov1
2021-04-30,20MICRONS,20.0,50.0
2021-07-30,20MICRONS,20.0,50.0
2020-12-10,21STCENMGM,20.0,50.0
2021-05-19,21STCENMGM,20.0,50.0
2021-03-15,3IINFOTECH,20.0,50.0
2021-07-27,3IINFOTECH,20.0,50.0
2021-02-24,3MINDIA,20.0,50.0
2021-09-14,3MINDIA,20.0,50.0
2021-04-22,3PLAND,20,50
2021-01-13,5PAISA,20.0,50.0
2021-04-06,5PAISA,20.0,50.0
2021-02-25,63MOONS,20.0,50.0
2021-04-15,63MOONS,20.0,50.0
2021-05-10,A2ZINFRA,20,50
2020-12-15,AARTIDRUGS,20.0,50.0
2021-03-22,AARTIDRUGS,20.0,50.0
2021-03-01,AARTIIND,20.0,50.0
2021-07-23,AARTIIND,20.0,50.0
2021-03-09,AARTISURF,20.0,50.0
2021-07-26,AARTISURF,20.0,50.0
2021-04-12,AARVEEDEN,20.0,50.0
2021-07-20,AARVEEDEN,20.0,50.0
2020-12-07,AARVI,20.0,50.0
2021-02-19,AARVI,20.0,50.0
2021-05-24,AARVI,20.0,50.0
2021-06-04,AAVAS,20,50
2021-02-16,ABAN,20.0,50.0
2021-05-18,ABAN,20.0,50.0
2021-05-21,ABB,20.0,50.0
2021-08-30,ABB,20.0,50.0
2020-12-15,ABBOTINDIA,20.0,50.0
2021-03-22,ABBOTINDIA,20.0,50.0
2021-02-16,ABCAPITAL,20.0,50.0
2021-05-21,ABCAPITAL,20.0,50.0
2021-02-23,ABFRL,20.0,50.0
2021-06-01,ABFRL,20.0,50.0
2021-01-04,ABMINTLTD,20.0,50.0
2021-01-29,ABMINTLTD,20.0,50.0
2021-05-20,ABMINTLTD,20.0,50.0
2021-01-11,ACC,20,50
2020-12-16,ACCELYA,20.0,50.0
2021-05-11,ACCELYA,20.0,50.0
2021-05-26,ACE,20.0,50.0
2021-09-13,ACE,20.0,50.0
2021-05-21,ACRYSIL,20,50
2021-08-27,ADANIENT,20,50
2021-02-10,ADANIGREEN,20.0,50.0
2021-05-21,ADANIGREEN,20.0,50.0
2021-09-02,ADANIGREEN,20.0,50.0
2021-08-26,ADANIPORTS,20,50
2021-09-15,ADANIPOWER,20,50
2021-08-25,ADANITRANS,20,50
2021-09-14,ADFFOODS,20,50
2021-03-09,ADL,20.0,50.0
2021-04-06,ADL,20.0,50.0
2021-05-19,ADL,20.0,50.0
2021-09-01,ADL,20.0,50.0
,ADORWELD,20,50
2020-12-09,ADROITINFO,20.0,50.0
2021-03-12,ADROITINFO,20.0,50.0
2021-05-27,ADROITINFO,20.0,50.0
2021-09-16,ADROITINFO,20.0,50.0
2021-03-15,ADSL,20.0,50.0
2021-08-31,ADSL,20.0,50.0
2021-02-23,ADVANIHOTR,20.0,50.0
2021-05-26,ADVANIHOTR,20.0,50.0
2021-09-20,ADVANIHOTR,20.0,50.0
2021-02-09,ADVENZYMES,20.0,50.0
2021-04-20,ADVENZYMES,20.0,50.0
2021-05-04,AEGISCHEM,20,50
2021-09-02,AFFLE,20,50
2020-12-07,AGARIND,20.0,50.0
2021-03-26,AGARIND,20.0,50.0
,AGCNET,20,50
2021-04-09,AGRITECH,20.0,50.0
2021-08-02,AGRITECH,20.0,50.0
2021-05-17,AGROPHOS,20,50
,AHLADA,20,50
2020-12-04,AHLEAST,20.0,50.0
2021-05-26,AHLEAST,20.0,50.0
2021-09-15,AHLEAST,20.0,50.0
2021-05-26,AHLUCONT,20.0,50.0
2021-09-13,AHLUCONT,20.0,50.0
2020-12-08,AHLWEST,20.0,50.0
2021-05-31,AHLWEST,20.0,50.0
